,interview_code,sequences,transcripts_available
48,10416,"['topic_2_6_8', 'topic_3_6_10', 'topic_5_12']",False
49,10435,"['topic_8', 'topic_10', 'topic_4', 'topic_2', 'topic_2']",False
50,10444,"['topic_10', 'topic_9', 'topic_9', 'topic_3_4', 'topic_10', 'topic_12', 'topic_6', 'topic_0', 'topic_12', 'topic_6', 'topic_6_21', 'topic_15', 'topic_13', 'topic_13', 'topic_7', 'topic_15', 'topic_21', 'topic_0_6', 'topic_13', 'topic_13', 'topic_6']",False
51,10468,"['topic_10', 'topic_3', 'topic_9', 'topic_4_5', 'topic_1', 'topic_10', 'topic_10_12', 'topic_21', 'topic_6', 'topic_7_21', 'topic_21', 'topic_6', 'topic_6_19_21', 'topic_20', 'topic_7', 'topic_17_21']",False
52,1047,['topic_4_8'],False
53,10470,"['topic_9', 'topic_10', 'topic_0', 'topic_2']",False
54,10472,"['topic_9_10_14_15', 'topic_3_18', 'topic_1_5', 'topic_10_14_15', 'topic_5', 'topic_7_10_15', 'topic_6_7_10_15', 'topic_16', 'topic_13', 'topic_2_13']",False
55,10509,"['topic_6_9', 'topic_1_4_12', 'topic_0_18', 'topic_6_9', 'topic_0', 'topic_2_8_10_12', 'topic_9_10', 'topic_10_14_15', 'topic_10_14_15', 'topic_6_9_16']",False
56,10514,"['topic_1', 'topic_15', 'topic_8', 'topic_4', 'topic_12']",False
57,1052,"['topic_4', 'topic_12', 'topic_2']",False
58,10550,"['topic_8_10', 'topic_3_4', 'topic_4_18', 'topic_9_12', 'topic_12', 'topic_15']",False
59,10554,"['topic_10', 'topic_1_12', 'topic_4', 'topic_1', 'topic_1', 'topic_1', 'topic_4', 'topic_0', 'topic_1', 'topic_0', 'topic_16', 'topic_1', 'topic_2_8']",False
60,10559,"['topic_0', 'topic_12', 'topic_6', 'topic_0', 'topic_7', 'topic_12', 'topic_8', 'topic_5', 'topic_3', 'topic_12', 'topic_0']",False
61,10561,"['topic_4', 'topic_0_14', 'topic_0']",False
62,10573,"['topic_10', 'topic_9']",False
63,10579,"['topic_10', 'topic_10', 'topic_8']",False
64,10587,"['topic_6', 'topic_4', 'topic_3', 'topic_12', 'topic_1', 'topic_10', 'topic_6', 'topic_10', 'topic_0', 'topic_5', 'topic_9', 'topic_8']",True
65,10589,"['topic_2_4_8_10', 'topic_1_10', 'topic_1_2_10_18', 'topic_6_20']",False
66,10593,"['topic_9', 'topic_4', 'topic_20', 'topic_12', 'topic_12', 'topic_17', 'topic_2']",False
67,10599,"['topic_4', 'topic_1', 'topic_9', 'topic_10', 'topic_12', 'topic_5', 'topic_6_12', 'topic_2', 'topic_2', 'topic_2']",False
68,1062,"['topic_9_10', 'topic_4', 'topic_3', 'topic_3', 'topic_1', 'topic_5', 'topic_18', 'topic_6', 'topic_5', 'topic_2']",True
69,10622,"['topic_8', 'topic_4', 'topic_10', 'topic_4', 'topic_9', 'topic_5', 'topic_9', 'topic_18', 'topic_10', 'topic_9', 'topic_5', 'topic_10', 'topic_14_21', 'topic_5_10', 'topic_10', 'topic_6', 'topic_5', 'topic_20', 'topic_6', 'topic_3', 'topic_12', 'topic_6', 'topic_2_8', 'topic_2']",False
70,10627,['topic_4'],False
71,10638,"['topic_5', 'topic_9', 'topic_20', 'topic_2', 'topic_8', 'topic_6_10', 'topic_9', 'topic_4', 'topic_10', 'topic_4', 'topic_11', 'topic_9', 'topic_1', 'topic_18']",False
72,10647,"['topic_4_10', 'topic_3', 'topic_1', 'topic_5']",False
73,10651,['topic_10'],False
74,10658,['topic_9'],False
75,1066,"['topic_17', 'topic_5', 'topic_7', 'topic_12', 'topic_1', 'topic_7_15', 'topic_9', 'topic_9', 'topic_7', 'topic_10', 'topic_2_10', 'topic_4_8', 'topic_3', 'topic_15', 'topic_7', 'topic_1', 'topic_12', 'topic_1', 'topic_12', 'topic_18', 'topic_18', 'topic_0', 'topic_1']",False
76,10666,"['topic_9_21', 'topic_7', 'topic_6_9_10', 'topic_0_10', 'topic_4_20', 'topic_1_3', 'topic_11', 'topic_8', 'topic_6_12', 'topic_12', 'topic_18', 'topic_7', 'topic_6', 'topic_7', 'topic_9_10', 'topic_5_13', 'topic_0_18', 'topic_6_18', 'topic_0', 'topic_2', 'topic_7']",False
77,1069,"['topic_9_10', 'topic_4', 'topic_3', 'topic_1']",False
78,107,"['topic_10_15', 'topic_1_10', 'topic_15', 'topic_10_15', 'topic_5_10', 'topic_7_21', 'topic_15', 'topic_5', 'topic_5_15', 'topic_9', 'topic_2_7']",True
79,10701,"['topic_9', 'topic_1', 'topic_12']",False
80,10734,"['topic_0_9', 'topic_21', 'topic_18', 'topic_10', 'topic_9', 'topic_5', 'topic_6_21']",False
81,1074,"['topic_8', 'topic_5', 'topic_12', 'topic_3', 'topic_6', 'topic_17_21', 'topic_9', 'topic_15', 'topic_0', 'topic_2']",False
82,10752,"['topic_3', 'topic_10_12', 'topic_19', 'topic_2']",False
83,10757,"['topic_12', 'topic_7']",False
84,1077,"['topic_8', 'topic_4', 'topic_3']",False
85,10771,"['topic_4_9', 'topic_9', 'topic_4', 'topic_9', 'topic_2']",False
86,10789,"['topic_12', 'topic_12', 'topic_9']",False
87,10790,"['topic_1_12', 'topic_6', 'topic_6', 'topic_21', 'topic_2', 'topic_2', 'topic_6', 'topic_7', 'topic_6', 'topic_2', 'topic_4', 'topic_3', 'topic_10', 'topic_1', 'topic_10_12', 'topic_10', 'topic_21', 'topic_6', 'topic_12', 'topic_9', 'topic_5']",False
88,10808,['topic_1'],False
89,10824,['topic_10'],False
90,10833,"['topic_8_15', 'topic_15', 'topic_10', 'topic_7']",False
91,10843,"['topic_4_6_8', 'topic_4', 'topic_1', 'topic_6_10']",False
92,10853,"['topic_4', 'topic_3', 'topic_1', 'topic_9', 'topic_1', 'topic_0_20', 'topic_1']",False
93,10863,"['topic_8_9', 'topic_10', 'topic_4', 'topic_6', 'topic_1', 'topic_9']",False
94,10871,"['topic_9', 'topic_7', 'topic_4', 'topic_1', 'topic_0', 'topic_2_6', 'topic_2']",False
95,10873,"['topic_3', 'topic_12', 'topic_16']",False
96,10874,"['topic_9', 'topic_1', 'topic_12']",False
97,10889,"['topic_9', 'topic_10', 'topic_6', 'topic_4', 'topic_5', 'topic_3', 'topic_12', 'topic_12', 'topic_6', 'topic_1', 'topic_18', 'topic_2']",False
98,10919,"['topic_9', 'topic_10', 'topic_4', 'topic_1_18', 'topic_11', 'topic_1', 'topic_1', 'topic_10', 'topic_10']",False
99,10921,['topic_4'],False
100,10924,"['topic_3', 'topic_5', 'topic_10', 'topic_10', 'topic_5', 'topic_10', 'topic_9', 'topic_5', 'topic_6', 'topic_1', 'topic_2']",False
101,10930,"['topic_8_10', 'topic_10', 'topic_4']",False
102,10940,"['topic_2_7_8_9', 'topic_4', 'topic_9_18', 'topic_1_2_12', 'topic_13', 'topic_9']",False
103,10947,['topic_3'],False
104,10957,"['topic_2', 'topic_3_4', 'topic_12']",False
105,10986,"['topic_1_3_6_9', 'topic_7_12_18_21', 'topic_6_7_21', 'topic_2']",False
106,10988,"['topic_9_10', 'topic_4', 'topic_1', 'topic_16']",False
107,10989,"['topic_10', 'topic_2_3_12', 'topic_6_12', 'topic_0_12', 'topic_1', 'topic_21', 'topic_6', 'topic_7_12', 'topic_2_3', 'topic_0_6_12', 'topic_2']",False
108,11000,"['topic_5', 'topic_18', 'topic_10']",True
109,11006,"['topic_2', 'topic_9', 'topic_4', 'topic_3_5', 'topic_6', 'topic_6', 'topic_0_18', 'topic_21']",False
110,11008,"['topic_10', 'topic_2', 'topic_9', 'topic_10', 'topic_4', 'topic_21', 'topic_4']",False
111,1101,"['topic_8', 'topic_4', 'topic_1', 'topic_18', 'topic_5', 'topic_10']",False
112,11015,"['topic_9', 'topic_7_9', 'topic_10', 'topic_4', 'topic_18', 'topic_3', 'topic_5']",False
113,11021,['topic_9'],False
114,11024,"['topic_4', 'topic_1', 'topic_5', 'topic_2']",False
115,11029,"['topic_4_10', 'topic_5']",False
116,1103,"['topic_8_10', 'topic_4', 'topic_5', 'topic_0_6_10', 'topic_3_18', 'topic_6_10', 'topic_5']",False
117,11035,['topic_2'],False
118,11046,"['topic_9', 'topic_4', 'topic_18', 'topic_9_10', 'topic_2']",False
119,11053,"['topic_1', 'topic_10', 'topic_12', 'topic_2']",False
