,segment_lenght
322217,0 days 00:04:09.930000000
322225,0 days 00:02:57.120000000
322486,0 days 00:05:50.970000000
322939,0 days 00:05:12.740000000
322949,0 days 00:04:07.080000000
322953,0 days 00:04:51.100000000
322965,0 days 00:03:07.110000000
322969,0 days 00:05:03.020000000
323288,0 days 00:05:12.980000000
323295,0 days 00:05:36.980000000
323300,0 days 00:04:54.180000000
323313,0 days 00:06:53.090000000
323319,0 days 00:03:56.840000000
323327,0 days 00:02:17.200000000
323332,0 days 00:06:20.860000000
323339,0 days 00:02:45.110000000
323346,0 days 00:04:43.970000000
323366,0 days 00:01:53.890000000
323372,0 days 00:05:43.150000000
323381,0 days 00:02:28.730000000
323388,0 days 00:06:24.220000000
323397,0 days 00:03:49.810000000
323403,0 days 00:02:38.090000000
323832,0 days 00:08:12.750000000
323847,0 days 00:06:14.930000000
323853,0 days 00:04:47.040000000
323858,0 days 00:11:50.080000000
323863,0 days 00:00:24.180000000
324949,0 days 00:02:04.240000000
324959,0 days 00:05:13.010000000
324966,0 days 00:05:23.880000000
324983,0 days 00:07:21.920000000
324991,0 days 00:04:23.870000000
325845,0 days 00:05:07.020000000
325850,0 days 00:04:01.840000000
325858,0 days 00:04:19.980000000
325866,0 days 00:04:55.130000000
325875,0 days 00:02:55.960000000
326510,0 days 00:04:58.190000000
326522,0 days 00:04:31.890000000
326534,0 days 00:02:14.150000000
327233,0 days 00:04:59.870000000
327238,0 days 00:05:02.080000000
327242,0 days 00:04:18.800000000
327247,0 days 00:05:12.260000000
327253,0 days 00:05:16.750000000
327265,0 days 00:05:48.930000000
327275,0 days 00:04:57.210000000
327279,0 days 00:05:30.950000000
327648,0 days 00:03:33.040000000
328114,0 days 00:02:19.990000000
328124,0 days 00:01:58.860000000
328129,0 days 00:05:17.130000000
328140,0 days 00:04:08.780000000
328156,0 days 00:06:36.010000000
328165,0 days 00:02:15.040000000
328174,0 days 00:04:17.820000000
328182,0 days 00:03:36.980000000
328191,0 days 00:06:22.930000000
328210,0 days 00:04:34.270000000
328219,0 days 00:02:03.060000000
329158,0 days 00:06:05.230000000
329172,0 days 00:05:34.850000000
329180,0 days 00:02:52.050000000
329185,0 days 00:06:25.070000000
329200,0 days 00:06:34.090000000
329208,0 days 00:04:32.760000000
329215,0 days 00:04:50.230000000
334669,0 days 00:04:24.100000000
334684,0 days 00:04:09.010000000
334697,0 days 00:05:45.230000000
334938,0 days 00:06:36.270000000
334948,0 days 00:02:48.810000000
334956,0 days 00:03:27.970000000
334965,0 days 00:04:27.060000000
334975,0 days 00:03:19.080000000
335000,0 days 00:04:36.950000000
335004,0 days 00:03:48.790000000
335007,0 days 00:04:52.150000000
336340,0 days 00:04:41.990000000
336350,0 days 00:05:14.010000000
336357,0 days 00:03:35.100000000
336366,0 days 00:03:43.180000000
336384,0 days 00:04:43.060000000
336392,0 days 00:04:15.940000000
336398,0 days 00:03:46.070000000
336406,0 days 00:03:38.050000000
336416,0 days 00:02:47.070000000
336939,0 days 00:07:09.980000000
336949,0 days 00:07:47.060000000
336960,0 days 00:08:09.050000000
338153,0 days 00:05:58.990000000
338158,0 days 00:06:53.950000000
340613,0 days 00:05:07.150000000
340618,0 days 00:03:06.920000000
340623,0 days 00:05:36.950000000
340630,0 days 00:04:26.110000000
340635,0 days 00:02:47.000000000
343351,0 days 00:05:02.060000000
343362,0 days 00:04:13.860000000
343370,0 days 00:08:01.100000000
343382,0 days 00:05:13.810000000
343539,0 days 00:01:36.010000000
346457,0 days 00:03:57.930000000
346469,0 days 00:05:43.900000000
346474,0 days 00:04:12.930000000
346485,0 days 00:05:11.010000000
347215,0 days 00:05:41.820000000
347228,0 days 00:04:17.110000000
347233,0 days 00:06:19.890000000
347241,0 days 00:01:58.170000000
347257,0 days 00:03:38.990000000
348036,0 days 00:07:04.930000000
348047,0 days 00:05:07.930000000
348053,0 days 00:06:23.960000000
348069,0 days 00:04:21.100000000
348080,0 days 00:03:42.010000000
348088,0 days 00:04:01.940000000
348731,0 days 00:05:56.020000000
348740,0 days 00:05:53.750000000
348748,0 days 00:05:42.120000000
348755,0 days 00:04:43.940000000
349467,0 days 00:04:45.810000000
349474,0 days 00:04:30.040000000
349481,0 days 00:05:05.940000000
349498,0 days 00:03:21.270000000
349505,0 days 00:04:20.000000000
349510,0 days 00:05:12.020000000
349517,0 days 00:07:19.980000000
349531,0 days 00:03:30.810000000
349537,0 days 00:03:17.950000000
349542,0 days 00:06:24.070000000
349550,0 days 00:04:07.090000000
349556,0 days 00:04:40.880000000
349568,0 days 00:05:54.860000000
349573,0 days 00:02:11.980000000
349579,0 days 00:02:52.000000000
349585,0 days 00:04:20.200000000
349589,0 days 00:03:09.870000000
349595,0 days 00:03:32.100000000
349600,0 days 00:05:34.810000000
349610,0 days 00:04:51.860000000
349615,0 days 00:03:05.210000000
351931,0 days 00:04:20.790000000
351939,0 days 00:04:21.130000000
351949,0 days 00:05:16.990000000
351960,0 days 00:04:46.070000000
351977,0 days 00:04:26.010000000
351988,0 days 00:04:20.910000000
352200,0 days 00:04:07.990000000
352207,0 days 00:03:48.130000000
352214,0 days 00:04:12.090000000
352223,0 days 00:04:28.800000000
352230,0 days 00:03:28.200000000
352237,0 days 00:04:29.830000000
352250,0 days 00:03:17.930000000
352256,0 days 00:04:20.070000000
352261,0 days 00:05:24.030000000
352267,0 days 00:03:57.890000000
352275,0 days 00:03:39.890000000
353263,0 days 00:04:52.200000000
353871,0 days 00:04:48.890000000
353883,0 days 00:02:04.010000000
355652,0 days 00:04:34.850000000
355666,0 days 00:04:00.000000000
355673,0 days 00:03:54.070000000
355682,0 days 00:06:24.050000000
355696,0 days 00:04:56.060000000
355707,0 days 00:02:56.900000000
355714,0 days 00:01:09.950000000
355832,0 days 00:04:40.100000000
355844,0 days 00:04:11.800000000
355850,0 days 00:05:53.100000000
355857,0 days 00:06:11.990000000
356736,0 days 00:03:57.080000000
356746,0 days 00:04:03.130000000
356752,0 days 00:03:46.760000000
357364,0 days 00:02:36.000000000
357371,0 days 00:06:29.890000000
358297,0 days 00:04:32.940000000
358303,0 days 00:03:47.820000000
358310,0 days 00:02:19.010000000
358316,0 days 00:04:04.070000000
358902,0 days 00:06:17.020000000
358915,0 days 00:03:16.000000000
358924,0 days 00:04:37.000000000
358935,0 days 00:04:35.190000000
361294,0 days 00:07:52.950000000
361303,0 days 00:06:20.030000000
361309,0 days 00:08:08.000000000
361330,0 days 00:05:18.100000000
363456,0 days 00:05:52.950000000
363463,0 days 00:06:04.230000000
363475,0 days 00:04:37.900000000
363521,0 days 00:04:12.020000000
363526,0 days 00:04:08.900000000
363530,0 days 00:05:10.020000000
363538,0 days 00:04:32.880000000
363931,0 days 00:05:00.880000000
363940,0 days 00:03:59.980000000
363952,0 days 00:05:07.230000000
363964,0 days 00:04:08.020000000
364326,0 days 00:04:35.100000000
364337,0 days 00:05:08.130000000
364410,0 days 00:06:11.190000000
364416,0 days 00:07:43.790000000
364421,0 days 00:06:30.120000000
364426,0 days 00:05:08.920000000
364441,0 days 00:05:39.020000000
364950,0 days 00:03:49.270000000
364956,0 days 00:05:19.930000000
364963,0 days 00:03:39.040000000
364969,0 days 00:01:04.140000000
365712,0 days 00:04:24.080000000
365722,0 days 00:05:27.840000000
365733,0 days 00:04:30.070000000
365738,0 days 00:04:07.060000000
365745,0 days 00:02:13.960000000
365751,0 days 00:03:08.880000000
365759,0 days 00:07:08.100000000
365767,0 days 00:04:46.060000000
365783,0 days 00:05:32.100000000
365789,0 days 00:03:01.920000000
367342,0 days 00:05:39.990000000
367350,0 days 00:05:17.070000000
367361,0 days 00:03:56.020000000
367568,0 days 00:04:43.000000000
367581,0 days 00:04:56.090000000
367589,0 days 00:04:27.050000000
367623,0 days 00:04:05.020000000
367628,0 days 00:03:17.850000000
367641,0 days 00:04:25.110000000
369252,0 days 00:02:24.110000000
369261,0 days 00:03:24.800000000
369269,0 days 00:02:46.210000000
370625,0 days 00:04:21.880000000
370631,0 days 00:05:07.050000000
370636,0 days 00:05:52.070000000
375380,0 days 00:07:17.930000000
375386,0 days 00:04:16.990000000
375392,0 days 00:06:16.930000000
375398,0 days 00:02:25.120000000
375404,0 days 00:05:49.070000000
375414,0 days 00:07:31.080000000
375424,0 days 00:02:16.990000000
375428,0 days 00:05:37.940000000
375435,0 days 00:05:06.020000000
375442,0 days 00:04:15.030000000
375461,0 days 00:01:52.070000000
375471,0 days 00:04:12.750000000
375482,0 days 00:02:41.030000000
375494,0 days 00:03:15.870000000
378169,0 days 00:03:50.910000000
378176,0 days 00:03:45.970000000
378189,0 days 00:05:02.880000000
380882,0 days 00:05:06.040000000
380899,0 days 00:04:58.020000000
380911,0 days 00:06:39.090000000
380922,0 days 00:03:42.720000000
380932,0 days 00:04:15.150000000
380949,0 days 00:06:38.060000000
380960,0 days 00:02:20.860000000
380974,0 days 00:04:10.960000000
380983,0 days 00:04:02.060000000
380987,0 days 00:05:00.980000000
380993,0 days 00:03:32.000000000
381008,0 days 00:05:23.970000000
381017,0 days 00:02:46.080000000
381025,0 days 00:04:46.880000000
382238,0 days 00:05:43.840000000
382248,0 days 00:04:27.150000000
382255,0 days 00:03:40.970000000
382263,0 days 00:04:23.130000000
382273,0 days 00:04:08.810000000
382293,0 days 00:04:40.160000000
385791,0 days 00:05:35.150000000
385803,0 days 00:06:26.800000000
385810,0 days 00:06:00.280000000
385816,0 days 00:04:49.970000000
385833,0 days 00:04:55.090000000
385838,0 days 00:06:28.020000000
385847,0 days 00:03:30.090000000
385851,0 days 00:05:58.930000000
385858,0 days 00:03:30.970000000
385944,0 days 00:03:03.840000000
385954,0 days 00:03:51.060000000
385962,0 days 00:06:05.100000000
385973,0 days 00:01:04.860000000
385978,0 days 00:00:57.110000000
385989,0 days 00:03:41.810000000
386000,0 days 00:02:14.130000000
386004,0 days 00:05:30.000000000
386012,0 days 00:01:59.010000000
386018,0 days 00:03:07.140000000
386028,0 days 00:02:41.860000000
386037,0 days 00:02:05.040000000
386043,0 days 00:01:20.000000000
386057,0 days 00:02:04.190000000
387138,0 days 00:04:18.920000000
387144,0 days 00:05:18.950000000
387151,0 days 00:03:22.030000000
387160,0 days 00:05:33.910000000
387239,0 days 00:06:31.010000000
387245,0 days 00:10:26.950000000
387254,0 days 00:05:51.890000000
387269,0 days 00:06:31.050000000
387278,0 days 00:07:19.180000000
387290,0 days 00:05:18.770000000
387299,0 days 00:04:00.160000000
387305,0 days 00:03:33.000000000
387324,0 days 00:02:18.080000000
387332,0 days 00:06:20.030000000
387340,0 days 00:07:20.810000000
387349,0 days 00:09:39.090000000
387367,0 days 00:02:23.000000000
387373,0 days 00:04:31.970000000
387381,0 days 00:04:44.080000000
387395,0 days 00:03:48.110000000
387401,0 days 00:04:13.010000000
387407,0 days 00:08:19.800000000
387417,0 days 00:04:46.010000000
387426,0 days 00:02:42.210000000
387436,0 days 00:01:35.890000000
387440,0 days 00:00:57.140000000
387443,0 days 00:01:00.820000000
387447,0 days 00:00:45.080000000
387451,0 days 00:01:06.930000000
387455,0 days 00:00:49.210000000
387460,0 days 00:00:25.900000000
387866,0 days 00:07:10.740000000
387874,0 days 00:04:56.110000000
387882,0 days 00:04:39.880000000
388105,0 days 00:03:57.000000000
388119,0 days 00:04:45.800000000
388125,0 days 00:06:57.830000000
391005,0 days 00:03:49.060000000
391015,0 days 00:02:34.030000000
391024,0 days 00:01:58.960000000
391033,0 days 00:03:56.050000000
391053,0 days 00:02:59.060000000
391062,0 days 00:05:34.940000000
391077,0 days 00:02:56.790000000
391088,0 days 00:03:00.750000000
391093,0 days 00:02:22.120000000
391098,0 days 00:02:24.010000000
391110,0 days 00:02:50.910000000
391940,0 days 00:05:02.190000000
391959,0 days 00:07:38.170000000
391964,0 days 00:05:00.920000000
391978,0 days 00:02:00.940000000
391982,0 days 00:08:31.070000000
391988,0 days 00:02:54.750000000
392233,0 days 00:04:24.140000000
392239,0 days 00:03:41.850000000
392496,0 days 00:04:07.970000000
392505,0 days 00:04:48.010000000
392525,0 days 00:05:08.930000000
392533,0 days 00:02:07.980000000
392538,0 days 00:05:59.110000000
392545,0 days 00:05:09.880000000
392554,0 days 00:06:11.020000000
392568,0 days 00:05:42.960000000
392576,0 days 00:06:09.190000000
392585,0 days 00:05:16.720000000
392594,0 days 00:06:17.970000000
392601,0 days 00:01:49.980000000
392605,0 days 00:01:02.030000000
392677,0 days 00:03:38.050000000
392685,0 days 00:04:41.020000000
392692,0 days 00:03:14.020000000
392697,0 days 00:02:35.170000000
392805,0 days 00:04:23.960000000
392822,0 days 00:05:24.110000000
392830,0 days 00:04:01.010000000
392836,0 days 00:03:14.010000000
392845,0 days 00:02:11.940000000
392852,0 days 00:03:44.980000000
392859,0 days 00:06:13.090000000
392867,0 days 00:04:26.040000000
393491,0 days 00:04:21.010000000
393500,0 days 00:04:32.030000000
393509,0 days 00:05:03.040000000
393517,0 days 00:05:49.880000000
393529,0 days 00:03:54.240000000
393535,0 days 00:04:15.030000000
393542,0 days 00:03:00.820000000
393548,0 days 00:02:13.030000000
394933,0 days 00:04:48.790000000
394948,0 days 00:04:03.920000000
394953,0 days 00:04:43.230000000
395053,0 days 00:04:10.070000000
395067,0 days 00:03:44.850000000
395677,0 days 00:01:22.270000000
395682,0 days 00:02:25.920000000
395693,0 days 00:03:20.050000000
395703,0 days 00:04:00.890000000
395715,0 days 00:05:59.890000000
395722,0 days 00:04:47.970000000
395865,0 days 00:01:43.200000000
395873,0 days 00:02:03.140000000
396111,0 days 00:06:23.900000000
396122,0 days 00:00:45.820000000
396127,0 days 00:05:51.950000000
396139,0 days 00:03:18.820000000
396146,0 days 00:02:27.200000000
396160,0 days 00:03:44.820000000
396173,0 days 00:04:22.190000000
396182,0 days 00:01:17.210000000
396190,0 days 00:01:18.120000000
396197,0 days 00:05:33.080000000
396204,0 days 00:01:21.000000000
396211,0 days 00:03:11.750000000
396230,0 days 00:02:15.840000000
396238,0 days 00:00:51.890000000
396244,0 days 00:00:21.120000000
396250,0 days 00:04:56.110000000
396257,0 days 00:04:22.010000000
396265,0 days 00:04:08.890000000
396272,0 days 00:02:33.080000000
396278,0 days 00:05:17.920000000
396286,0 days 00:02:09.870000000
396299,0 days 00:07:22.020000000
396309,0 days 00:01:09.020000000
396316,0 days 00:02:28.050000000
396322,0 days 00:05:16.150000000
396334,0 days 00:05:17.830000000
396340,0 days 00:01:42.250000000
396347,0 days 00:04:05.910000000
396356,0 days 00:03:13.070000000
396361,0 days 00:04:25.880000000
396375,0 days 00:05:35.030000000
396386,0 days 00:02:34.830000000
396497,0 days 00:01:24.130000000
396507,0 days 00:04:44.970000000
396514,0 days 00:03:38.910000000
397079,0 days 00:06:51.880000000
397085,0 days 00:05:37.060000000
397096,0 days 00:03:48.760000000
397105,0 days 00:03:31.050000000
397111,0 days 00:03:51.230000000
397135,0 days 00:05:46.950000000
397155,0 days 00:05:23.060000000
397367,0 days 00:04:27.800000000
397381,0 days 00:04:20.270000000
397386,0 days 00:04:47.860000000
397404,0 days 00:01:43.140000000
397408,0 days 00:03:49.750000000
398069,0 days 00:04:16.110000000
398091,0 days 00:05:49.140000000
398101,0 days 00:04:51.800000000
398106,0 days 00:06:29.960000000
398178,0 days 00:02:50.950000000
398187,0 days 00:03:37.040000000
398196,0 days 00:02:55.990000000
398203,0 days 00:03:54.140000000
398211,0 days 00:02:35.770000000
398222,0 days 00:02:42.000000000
398230,0 days 00:02:48.110000000
398249,0 days 00:02:58.040000000
398258,0 days 00:03:20.980000000
398266,0 days 00:03:20.980000000
399613,0 days 00:04:09.070000000
399621,0 days 00:03:33.950000000
399629,0 days 00:03:34.060000000
399639,0 days 00:02:55.020000000
399758,0 days 00:02:25.070000000
399765,0 days 00:02:23.010000000
399770,0 days 00:01:56.020000000
399774,0 days 00:03:18.940000000
399780,0 days 00:02:38.820000000
399787,0 days 00:03:50.160000000
401522,0 days 00:07:06.170000000
401551,0 days 00:04:43.850000000
401564,0 days 00:05:28.130000000
401579,0 days 00:07:10.900000000
401597,0 days 00:04:35.140000000
401615,0 days 00:03:49.070000000
401627,0 days 00:03:49.070000000
401635,0 days 00:03:12.960000000
401646,0 days 00:03:55.020000000
401709,0 days 00:03:38.020000000
401722,0 days 00:03:08.780000000
401729,0 days 00:02:45.110000000
401742,0 days 00:03:23.980000000
401747,0 days 00:02:15.890000000
402225,0 days 00:04:58.850000000
402234,0 days 00:04:07.120000000
402244,0 days 00:05:07.020000000
404578,0 days 00:03:35.090000000
404585,0 days 00:04:51.140000000
404593,0 days 00:03:34.000000000
404599,0 days 00:07:30.010000000
404610,0 days 00:05:28.040000000
404616,0 days 00:03:44.050000000
404939,0 days 00:04:59.070000000
404946,0 days 00:03:51.880000000
404960,0 days 00:03:46.010000000
404973,0 days 00:04:29.230000000
404982,0 days 00:04:08.760000000
404987,0 days 00:05:44.200000000
404994,0 days 00:05:03.940000000
405373,0 days 00:05:07.210000000
405383,0 days 00:03:51.920000000
405388,0 days 00:05:13.870000000
405396,0 days 00:04:05.040000000
405405,0 days 00:05:44.130000000
405424,0 days 00:04:09.140000000
405430,0 days 00:02:55.960000000
405434,0 days 00:04:39.070000000
405442,0 days 00:01:58.860000000
405503,0 days 00:05:01.100000000
405509,0 days 00:04:52.890000000
405513,0 days 00:03:54.930000000
405517,0 days 00:06:01.180000000
405522,0 days 00:03:22.060000000
405531,0 days 00:03:59.920000000
405872,0 days 00:05:02.920000000
405884,0 days 00:04:03.080000000
406347,0 days 00:03:38.850000000
406355,0 days 00:03:08.000000000
406660,0 days 00:04:16.060000000
406671,0 days 00:02:50.910000000
406679,0 days 00:06:29.010000000
406687,0 days 00:04:40.160000000
406695,0 days 00:06:04.970000000
406711,0 days 00:02:31.040000000
406739,0 days 00:03:09.010000000
406744,0 days 00:04:17.900000000
406748,0 days 00:02:30.050000000
406894,0 days 00:01:57.940000000
406907,0 days 00:02:08.060000000
406917,0 days 00:02:54.860000000
406930,0 days 00:01:50.010000000
406939,0 days 00:02:10.040000000
406967,0 days 00:02:43.980000000
406976,0 days 00:02:07.120000000
406990,0 days 00:01:57.070000000
407011,0 days 00:04:04.880000000
407044,0 days 00:03:42.870000000
407051,0 days 00:05:32.260000000
407060,0 days 00:04:14.760000000
407067,0 days 00:04:30.250000000
407075,0 days 00:02:42.840000000
407079,0 days 00:05:08.070000000
407399,0 days 00:03:11.850000000
407407,0 days 00:04:05.150000000
407415,0 days 00:04:08.020000000
407421,0 days 00:04:09.940000000
407437,0 days 00:04:30.070000000
407449,0 days 00:03:52.990000000
407647,0 days 00:06:08.960000000
407656,0 days 00:03:52.040000000
408335,0 days 00:05:21.200000000
408354,0 days 00:03:06.870000000
408363,0 days 00:03:34.940000000
408374,0 days 00:03:43.110000000
408385,0 days 00:04:41.990000000
408397,0 days 00:02:48.000000000
408402,0 days 00:02:30.830000000
409183,0 days 00:03:56.190000000
409194,0 days 00:02:54.020000000
409207,0 days 00:02:50.050000000
409222,0 days 00:04:31.150000000
409236,0 days 00:02:30.720000000
409248,0 days 00:03:44.990000000
409266,0 days 00:04:25.090000000
409274,0 days 00:04:17.060000000
409285,0 days 00:02:22.030000000
409295,0 days 00:03:29.880000000
409307,0 days 00:03:53.090000000
409334,0 days 00:02:13.940000000
409342,0 days 00:03:13.930000000
409349,0 days 00:04:02.050000000
409361,0 days 00:02:25.100000000
409381,0 days 00:03:00.040000000
409391,0 days 00:02:26.100000000
409395,0 days 00:04:08.010000000
409410,0 days 00:03:00.820000000
409419,0 days 00:02:31.860000000
409424,0 days 00:04:14.980000000
409431,0 days 00:05:11.910000000
409442,0 days 00:06:02.050000000
409448,0 days 00:04:31.100000000
409452,0 days 00:04:25.090000000
409463,0 days 00:04:25.870000000
409473,0 days 00:04:13.970000000
409479,0 days 00:03:24.940000000
409484,0 days 00:04:00.150000000
409489,0 days 00:02:08.050000000
409493,0 days 00:03:22.930000000
409500,0 days 00:06:43.140000000
409508,0 days 00:04:26.070000000
409588,0 days 00:04:16.840000000
409595,0 days 00:04:46.900000000
409601,0 days 00:03:35.180000000
409608,0 days 00:05:40.080000000
409624,0 days 00:03:44.940000000
409631,0 days 00:08:58.840000000
409986,0 days 00:05:04.880000000
409994,0 days 00:06:51.240000000
410013,0 days 00:06:31.900000000
410025,0 days 00:04:47.200000000
410031,0 days 00:03:08.830000000
410053,0 days 00:03:26.070000000
410065,0 days 00:04:27.950000000
410079,0 days 00:02:39.160000000
410524,0 days 00:04:52.220000000
410532,0 days 00:03:33.020000000
410538,0 days 00:04:06.900000000
410544,0 days 00:04:10.000000000
410947,0 days 00:06:42.070000000
410963,0 days 00:03:34.040000000
411365,0 days 00:02:35.980000000
411371,0 days 00:04:36.980000000
411813,0 days 00:03:27.830000000
411823,0 days 00:06:16.990000000
411834,0 days 00:06:04.890000000
411841,0 days 00:12:40.210000000
411857,0 days 00:05:29.260000000
411866,0 days 00:05:16.030000000
411875,0 days 00:04:32.130000000
411895,0 days 00:02:30.220000000
411902,0 days 00:04:55.770000000
411913,0 days 00:02:13.980000000
411922,0 days 00:04:42.960000000
411931,0 days 00:02:20.060000000
411938,0 days 00:03:13.940000000
412234,0 days 00:03:59.130000000
412245,0 days 00:02:45.900000000
412257,0 days 00:05:56.000000000
412274,0 days 00:04:41.950000000
412282,0 days 00:03:25.960000000
412293,0 days 00:04:56.000000000
412305,0 days 00:02:41.050000000
412314,0 days 00:04:31.790000000
412323,0 days 00:04:43.170000000
412332,0 days 00:05:20.030000000
412338,0 days 00:02:52.840000000
412347,0 days 00:05:15.790000000
412352,0 days 00:05:37.230000000
412362,0 days 00:00:59.120000000
412366,0 days 00:00:40.130000000
412369,0 days 00:00:45.850000000
412372,0 days 00:04:40.990000000
412852,0 days 00:02:10.120000000
412858,0 days 00:03:20.880000000
412863,0 days 00:04:55.220000000
412974,0 days 00:04:03.930000000
413012,0 days 00:02:00.980000000
413024,0 days 00:04:03.010000000
413034,0 days 00:01:47.040000000
413039,0 days 00:04:12.070000000
413046,0 days 00:04:12.910000000
413057,0 days 00:05:34.270000000
413069,0 days 00:04:48.900000000
413087,0 days 00:02:54.050000000
413095,0 days 00:00:39.060000000
413099,0 days 00:02:39.850000000
413104,0 days 00:03:43.030000000
413112,0 days 00:01:20.850000000
413118,0 days 00:08:02.210000000
413128,0 days 00:06:06.130000000
413148,0 days 00:04:00.150000000
413161,0 days 00:04:10.050000000
413177,0 days 00:03:52.930000000
413186,0 days 00:02:40.190000000
413196,0 days 00:03:27.770000000
413472,0 days 00:05:42.060000000
413485,0 days 00:06:13.080000000
413524,0 days 00:04:11.940000000
413533,0 days 00:02:15.030000000
413547,0 days 00:06:08.170000000
413552,0 days 00:03:05.870000000
413559,0 days 00:03:30.970000000
413565,0 days 00:02:48.950000000
413575,0 days 00:04:37.240000000
413592,0 days 00:02:38.900000000
413807,0 days 00:03:54.000000000
413824,0 days 00:04:44.090000000
414161,0 days 00:04:44.050000000
414175,0 days 00:03:39.970000000
414183,0 days 00:04:43.930000000
414786,0 days 00:02:37.010000000
414792,0 days 00:02:53.160000000
414801,0 days 00:03:52.020000000
414810,0 days 00:02:29.050000000
414814,0 days 00:04:08.060000000
414824,0 days 00:02:11.810000000
414829,0 days 00:04:39.990000000
414835,0 days 00:02:08.980000000
414840,0 days 00:02:47.100000000
414847,0 days 00:03:15.100000000
414866,0 days 00:04:57.150000000
414876,0 days 00:04:03.870000000
414883,0 days 00:03:44.150000000
414894,0 days 00:03:21.060000000
414902,0 days 00:05:23.820000000
414909,0 days 00:02:17.930000000
414927,0 days 00:09:32.810000000
414942,0 days 00:02:45.110000000
414952,0 days 00:06:30.960000000
414964,0 days 00:03:49.200000000
414969,0 days 00:03:30.900000000
414974,0 days 00:03:34.110000000
414979,0 days 00:03:27.860000000
416039,0 days 00:02:55.010000000
416249,0 days 00:05:03.830000000
416255,0 days 00:04:32.960000000
416348,0 days 00:06:07.100000000
416356,0 days 00:03:19.920000000
416362,0 days 00:04:46.110000000
416380,0 days 00:04:18.850000000
416389,0 days 00:02:17.030000000
416397,0 days 00:02:10.150000000
416409,0 days 00:03:17.920000000
416679,0 days 00:05:09.990000000
416691,0 days 00:02:06.200000000
416699,0 days 00:02:46.880000000
416709,0 days 00:02:55.090000000
416726,0 days 00:02:16.910000000
416739,0 days 00:03:23.960000000
416752,0 days 00:04:51.000000000
416759,0 days 00:05:14.110000000
416937,0 days 00:04:14.930000000
416949,0 days 00:05:18.200000000
417126,0 days 00:03:44.150000000
417137,0 days 00:03:52.930000000
417145,0 days 00:04:54.030000000
417161,0 days 00:03:02.930000000
417168,0 days 00:04:16.040000000
417175,0 days 00:03:00.210000000
417184,0 days 00:02:13.050000000
417570,0 days 00:03:45.960000000
417579,0 days 00:04:00.080000000
417609,0 days 00:06:07.940000000
417624,0 days 00:01:49.950000000
417637,0 days 00:04:29.090000000
417651,0 days 00:05:24.980000000
417678,0 days 00:02:50.990000000
417774,0 days 00:03:16.180000000
417783,0 days 00:03:31.940000000
417790,0 days 00:02:57.030000000
418022,0 days 00:02:56.000000000
418029,0 days 00:02:51.130000000
418038,0 days 00:03:11.920000000
418044,0 days 00:04:56.030000000
418055,0 days 00:05:54.770000000
418270,0 days 00:07:04.130000000
418283,0 days 00:07:15.960000000
418296,0 days 00:06:56.980000000
418917,0 days 00:03:40.160000000
418930,0 days 00:05:40.910000000
418941,0 days 00:07:37.020000000
419170,0 days 00:04:39.170000000
419175,0 days 00:06:40.910000000
419182,0 days 00:06:12.850000000
419203,0 days 00:04:04.980000000
419210,0 days 00:05:28.930000000
419216,0 days 00:04:44.150000000
419226,0 days 00:04:42.090000000
419232,0 days 00:04:44.040000000
419240,0 days 00:04:19.750000000
419251,0 days 00:06:54.110000000
419298,0 days 00:04:40.120000000
419317,0 days 00:04:47.900000000
419323,0 days 00:06:50.010000000
419446,0 days 00:04:15.860000000
419455,0 days 00:04:15.990000000
419461,0 days 00:06:00.130000000
419470,0 days 00:02:58.100000000
419477,0 days 00:08:01.850000000
419488,0 days 00:04:03.040000000
419941,0 days 00:03:55.770000000
419961,0 days 00:06:26.960000000
419968,0 days 00:02:15.940000000
419978,0 days 00:04:23.010000000
419987,0 days 00:03:47.950000000
419993,0 days 00:03:44.030000000
420000,0 days 00:02:47.820000000
420006,0 days 00:03:50.200000000
420029,0 days 00:01:36.200000000
420034,0 days 00:04:21.180000000
420044,0 days 00:04:36.010000000
420050,0 days 00:03:25.790000000
420057,0 days 00:05:24.990000000
420071,0 days 00:04:38.710000000
420302,0 days 00:04:33.160000000
420322,0 days 00:05:47.160000000
420332,0 days 00:06:13.930000000
420350,0 days 00:05:49.920000000
420362,0 days 00:03:44.090000000
420378,0 days 00:04:54.970000000
420388,0 days 00:02:22.090000000
420394,0 days 00:05:16.890000000
420403,0 days 00:06:44.080000000
420417,0 days 00:05:04.990000000
420436,0 days 00:03:54.850000000
420452,0 days 00:04:54.860000000
420463,0 days 00:01:34.960000000
420475,0 days 00:03:15.100000000
420481,0 days 00:02:13.120000000
420793,0 days 00:03:41.000000000
420799,0 days 00:05:08.000000000
420803,0 days 00:04:14.000000000
420808,0 days 00:02:50.000000000
420828,0 days 00:04:40.000000000
420832,0 days 00:04:28.000000000
420837,0 days 00:05:01.000000000
420889,0 days 00:06:14.190000000
420907,0 days 00:03:23.040000000
420924,0 days 00:06:46.890000000
421483,0 days 00:04:12.970000000
421491,0 days 00:05:18.040000000
421504,0 days 00:05:03.930000000
421516,0 days 00:05:09.090000000
421526,0 days 00:03:28.100000000
421536,0 days 00:07:41.770000000
421545,0 days 00:03:52.040000000
421575,0 days 00:05:54.970000000
421583,0 days 00:02:31.000000000
421587,0 days 00:03:48.950000000
421592,0 days 00:03:09.040000000
421596,0 days 00:01:27.100000000
